ACTRESS|TWITTER_URL
Beverly Aadland|
Mariann Aalda|
Caroline Aaron|
Diahnne Abbott|
Rose Abdoo|
Donzaleigh Abernathy|
Whitney Able|
Candice Accola|https://twitter.com/CandiceAccola|https://twitter.com/Candice_Accola
Amy Acker|https://twitter.com/AmyAcker
Amy Adams|
Brooke Adams (actress)|
Edie Adams|
Jane Adams (actress)|
Joey Lauren Adams|
Julie Adams|
Shohreh Aghdashloo|
Dianna Agron|https://twitter.com/KecksExclusives|https://twitter.com/JoshBooneMovies|https://twitter.com/DiannaAgron|https://twitter.com/MichaelStegerJr|https://twitter.com/NARAL
Christina Aguilera|https://twitter.com/ArianaGrande|https://twitter.com/yelyahwilliams|https://twitter.com/Pink
Lexi Ainsworth|
Jessica Alba|
Lola Albright|
Jaimie Alexander|https://twitter.com/jaimiealexander
Jane Alexander|
Khandi Alexander|
Sasha Alexander|https://twitter.com/SashaAlexander1
Tatyana Ali|
Ana Alicia|
Debbie Allen|https://twitter.com/msdebbieallen
Elizabeth Allen (actress)|
Joan Allen|
Karen Allen|
Krista Allen|
Laura Allen|
Nancy Allen (actress)|
Kirstie Alley|http://twitter.com/KirstieAlley
June Allyson|
Daniella Alonso|
Trini Alvarado|
Lauren Ambrose|
Mädchen Amick|
Suzy Amis|
Eva Amurri|https://twitter.com/4evamartino
Andrea Anders|
Gillian Anderson|https://twitter.com/GillianA
Loni Anderson|
Mary Anderson (actress, born 1920)|
Melody Anderson|
Nicole Anderson|https://twitter.com/HeyItsNicoleA
Jennifer Aniston|
Odette Annable|https://twitter.com/OdetteAnnable
Susan Anton|
Shiri Appleby|
Christina Applegate|https://twitter.com/1capplegate
Anne Archer|
Beverly Archer|
Leila Arcieri|
Eve Arden|
Ashley Argota|https://www.twitter.com/ashleyargota9
Jillian Armenante|
Bess Armstrong|
Samaire Armstrong|
Alexis Arquette|
Patricia Arquette|
Rosanna Arquette|
Bea Arthur|
Jean Arthur|
Elizabeth Ashley|
Mary Astor|
Eden Atwood|https://twitter.com/edenatwood
Margaret Avery|
Nicki Aycox|
Candice Azzara|
Lauren Bacall|
Barbara Bach|
Catherine Bach|
Mary Badham|
Jane Badler|
Pearl Bailey|
Fay Bainter|
Diora Baird|
Carroll Baker|
Kathy Baker|
Leigh-Allyn Baker|https://twitter.com/L_A_Baker
Brenda Bakke|
Fairuza Balk|
Lucille Ball|
Talia Balsam|
Anne Bancroft|
Tallulah Bankhead|
Elizabeth Banks|http://mobile.twitter.com/elizabethbanks|https://twitter.com/ElizabethBanks
Tyra Banks|
Christine Baranski|
Adrienne Barbeau|
Ellen Barkin|
Priscilla Barnes|
Majel Barrett|
Barbara Barrie|
Dana Barron|
Drew Barrymore|
Ethel Barrymore|
Roseanne Barr|
Mischa Barton|https://twitter.com/MischAmazing
Kim Basinger|
Angela Bassett|
Kathy Bates|
Cyia Batten|
Frances Bavier|
Anne Baxter|
Jennifer Beals|https://mobile.twitter.com/SleepintheGardn|https://twitter.com/jenniferbeals
Amanda Bearse|
Kimberly Beck|
Bonnie Bedelia|
Nicole Beharie|
Catherine Bell (actress)|
Kristen Bell|https://twitter.com/IMKristenBell|https://twitter.com/daxshepard1
Lake Bell|http://twitter.com/lakebell
Camilla Belle|
Kathleen Beller|
Troian Bellisario|https://twitter.com/SleepintheGardn|https://mobile.twitter.com/SleepintheGardn
Maria Bello|
Bea Benaderet|
Andrea Bendewald|
Annette Bening|
Haley Bennett|
Joan Bennett|
Amber Benson|https://twitter.com/amber_benson
Ashley Benson|https://twitter.com/AshBenzo
Julie Benz|http://twitter.com/juliebenz
Candice Bergen|
Elizabeth Berkley|
Jeannie Berlin|
Crystal Bernard|
Sandra Bernhard|https://twitter.com/SandraBernhard
Halle Berry|
Valerie Bertinelli|https://twitter.com/wolfiesmom
Angela Bettis|
Troy Beyer|
Mayim Bialik|https://twitter.com/missmayim
Leslie Bibb|
Jessica Biel|https://twitter.com/JessicaBiel
Barbara Billingsley|
Rachel Bilson|
Traci Bingham|
Thora Birch|
Kerry Bishé|
Summer Bishil|
Karen Black|
Joan Blackman|
Betsy Blair|
Linda Blair|http://www.twitter.com/LindaBlairFans
Patricia Blair|
Selma Blair|
Amanda Blake|
Ronee Blakley|
Jolene Blalock|
Tammy Blanchard|
Alexis Bledel|https://twitter.com/alexisbledel
Yasmine Bleeth|
Joan Blondell|
Nikki Blonsky|
Moon Bloodgood|
Ann Blyth|
Eleanor Boardman|
Mary Boland|
Julia Bond|https://www.twitter.com/iamjuliabond
Beulah Bondi|
Lisa Bonet|
Shirley Booth|
Olive Borden|
Michelle Borth|
Rachel Boston|https://twitter.com/rachelboston
Kate Bosworth|
Barbara Bouchet|
Clara Bow|
Katrina Bowden|https://twitter.com/KatrinaKBowden
Andrea Bowen|
Julie Bowen|
Lara Flynn Boyle|
Jessica Bowman|
Lorraine Bracco|
Alice Brady|
Alexandra Breckenridge|
Tracey E. Bregman|
Eileen Brennan|
Amy Brenneman|https://twitter.com/TheAmyBrenneman
Abigail Breslin|
Jordana Brewster|https://twitter.com/JordanaBrewster
Paget Brewster|https://twitter.com/pagetpaget
